央视,#genre#

CCTV-1高清,rtp://239.253.112.17:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111001/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
CCTV-2高清,rtp://239.253.112.18:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111002/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111001/1.m3u8
CCTV-3高清,rtp://239.253.112.19:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111057/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111002/1.m3u8
CCTV-4高清,rtp://239.253.112.20:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111003/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111003/1.m3u8
CCTV-5高清,rtp://239.253.112.21:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111058/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111004/1.m3u8
CCTV-5+,rtp://239.253.112.73:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111061/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
CCTV-6高清,rtp://239.253.112.22:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111059/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111006/1.m3u8
CCTV-7高清,rtp://239.253.112.23:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111004/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111007/1.m3u8
CCTV-8高清,rtp://239.253.112.24:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111060/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111007/1.m3u8
CCTV-9高清,rtp://239.253.112.25:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111005/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111009/1.m3u8
CCTV-10高清,rtp://239.253.112.26:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111006/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111010/1.m3u8
CCTV-11高清,rtp://239.253.112.10:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111007/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111011/1.m3u8
CCTV-12高清,rtp://239.253.112.27:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111008/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111012/1.m3u8
CCTV-13高清,rtp://239.253.112.13:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111009/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111013/1.m3u8
CCTV-14高清,rtp://239.253.112.29:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111010/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111014/1.m3u8
CCTV-15高清,rtp://239.253.112.12:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111011/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111015/1.m3u8
CCTV-17高清,rtp://239.253.112.14:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111012/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111016/1.m3u8
CGTN,rtp://239.253.112.79:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111070/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8

重庆,#genre#

重庆卫视高清,rtp://239.253.112.1:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111013/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆新闻高清,rtp://239.253.112.2:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111014/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆影视剧高清,rtp://239.253.112.3:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111015/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆社会与法高清,rtp://239.253.112.4:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111016/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆红岩文化高清,rtp://239.253.112.5:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111017/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆娱乐高清,rtp://239.253.112.6:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111018/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆新农村高清,rtp://239.253.112.7:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111019/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆少儿高清,rtp://239.253.112.8:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111020/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
CQTV红叶高清,rtp://239.253.112.9:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111021/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
重庆汽摩高清,rtp://239.253.112.11:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111022/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8

卫视,#genre#

江苏卫视高清,rtp://239.253.112.36:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111026/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111021/1.m3u8
浙江卫视高清,rtp://239.253.112.37:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111027/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111020/1.m3u8
东方卫视高清,rtp://239.253.112.38:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111028/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111024/1.m3u8
湖南卫视高清,rtp://239.253.112.58:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111047/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111023/1.m3u8
深圳卫视高清,rtp://239.253.112.39:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111029/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111022/1.m3u8
北京卫视高清,rtp://239.253.112.40:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111030/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111018/1.m3u8
山东卫视高清,rtp://239.253.112.41:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111031/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111037/1.m3u8
天津卫视高清,rtp://239.253.112.42:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111032/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111025/1.m3u8
贵州卫视高清,rtp://239.253.112.43:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111033/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111034/1.m3u8
四川卫视高清,rtp://239.253.112.44:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111034/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111029/1.m3u8
黑龙江卫视高清,rtp://239.253.112.47:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111037/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111052/1.m3u8
安徽卫视高清,rtp://239.253.112.48:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111038/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111038/1.m3u8
江西卫视高清,rtp://239.253.112.80:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111040/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111026/1.m3u8
湖北卫视高清,rtp://239.253.112.51:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111041/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111035/1.m3u8
海南卫视高清,rtp://239.253.112.212:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111042/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111072/1.m3u8
东南卫视高清,rtp://239.253.112.54:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111044/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111028/1.m3u8
辽宁卫视高清,rtp://239.253.112.56:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111045/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111027/1.m3u8
广东卫视高清,rtp://239.253.112.59:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111048/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111019/1.m3u8
河北卫视高清,rtp://239.253.112.61:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111050/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111031/1.m3u8
吉林卫视高清,rtp://239.253.112.246:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111056/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111049/1.m3u8
陕西卫视,rtp://239.253.112.53:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111043/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111033/1.m3u8
河南卫视,rtp://239.253.112.60:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111049/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111090/1.m3u8
内蒙古卫视,rtp://239.253.112.57:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111046/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111041/1.m3u8
宁夏卫视,rtp://239.253.112.62:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111051/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111039/1.m3u8
甘肃卫视高清,rtp://239.253.112.93:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111052/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111040/1.m3u8
青海卫视,rtp://239.253.112.69:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111053/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111036/1.m3u8
新疆卫视,rtp://239.253.112.70:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111054/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111050/1.m3u8
西藏卫视,rtp://239.253.112.71:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111055/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111073/1.m3u8
云南卫视,rtp://239.253.112.45:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111035/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111051/1.m3u8
广西卫视,rtp://239.253.112.46:9000#http://ltccq.cqa.bcs.ottcn.com:80/000000001777/400000000100111036/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111030/1.m3u8
山西卫视,rtp://239.253.112.49:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111039/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
山东教育高清,rtp://239.253.112.94:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111065/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8

其他,#genre#

CETV-1高清,rtp://239.253.112.83:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111064/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
CETV-4高清,rtp://239.253.112.95:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111063/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
卡酷少儿,rtp://239.253.112.85:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111066/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
嘉佳卡通,rtp://239.253.112.67:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111072/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
精彩影视,rtp://239.253.112.86:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111067/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
求索纪录,rtp://239.253.112.87:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111068/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
高尔夫网球HD,rtp://239.253.112.88:9000#http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111069/1.m3u8#http://ltccq.cqa.bcs.ottcn.com:80/000000001666/100000000100111211/1.m3u8
