CCTV-1高清,rtp://239.253.112.17:9000
CCTV-2高清,rtp://239.253.112.18:9000
CCTV-3 高清,rtp://239.253.112.19:9000
CCTV-4高清,rtp://239.253.112.20:9000
CCTV-5 高清,rtp://239.253.112.21:9000
CCTV-6 高清,rtp://239.253.112.22:9000
CCTV-7高清,rtp://239.253.112.23:9000
CCTV-8 高清,rtp://239.253.112.24:9000
CCTV-9高清,rtp://239.253.112.25:9000
CCTV-10高清,rtp://239.253.112.26:9000
CCTV-11高清,rtp://239.253.112.10:9000
CCTV-12高清,rtp://239.253.112.27:9000
CCTV-13高清,rtp://239.253.112.13:9000
CCTV-14高清,rtp://239.253.112.29:9000
CCTV-15高清,rtp://239.253.112.12:9000
CCTV-17高清,rtp://239.253.112.14:9000
CCTV-5+,rtp://239.253.112.73:9000
重庆卫视高清,rtp://239.253.112.1:9000
重庆新闻高清,rtp://239.253.112.2:9000
重庆影视剧高清,rtp://239.253.112.3:9000
重庆社会与法高清,rtp://239.253.112.4:9000
重庆红岩文化高清,rtp://239.253.112.5:9000
重庆娱乐高清,rtp://239.253.112.6:9000
重庆新农村高清,rtp://239.253.112.7:9000
重庆少儿高清,rtp://239.253.112.8:9000
CQTV红叶高清,rtp://239.253.112.9:9000
重庆汽摩高清,rtp://239.253.112.11:9000
江苏卫视高清,rtp://239.253.112.36:9000
浙江卫视高清,rtp://239.253.112.37:9000
东方卫视高清,rtp://239.253.112.38:9000
湖南卫视高清,rtp://239.253.112.58:9000
深圳卫视高清,rtp://239.253.112.39:9000
北京卫视高清,rtp://239.253.112.40:9000
山东卫视高清,rtp://239.253.112.41:9000
天津卫视高清,rtp://239.253.112.42:9000
贵州卫视高清,rtp://239.253.112.43:9000
四川卫视高清,rtp://239.253.112.44:9000
黑龙江卫视高清,rtp://239.253.112.47:9000
安徽卫视高清,rtp://239.253.112.48:9000
江西卫视高清,rtp://239.253.112.80:9000
湖北卫视高清,rtp://239.253.112.51:9000
海南卫视高清,rtp://239.253.112.212:9000
东南卫视高清,rtp://239.253.112.54:9000
辽宁卫视高清,rtp://239.253.112.56:9000
广东卫视高清,rtp://239.253.112.59:9000
河北卫视高清,rtp://239.253.112.61:9000
吉林卫视高清,rtp://239.253.112.246:9000
陕西卫视,rtp://239.253.112.53:9000
河南卫视,rtp://239.253.112.60:9000
内蒙古卫视,rtp://239.253.112.57:9000
宁夏卫视,rtp://239.253.112.62:9000
甘肃卫视高清,rtp://239.253.112.93:9000
青海卫视,rtp://239.253.112.69:9000
新疆卫视,rtp://239.253.112.70:9000
西藏卫视,rtp://239.253.112.71:9000
云南卫视,rtp://239.253.112.45:9000
广西卫视,rtp://239.253.112.46:9000
山西卫视,rtp://239.253.112.49:9000
CETV-1高清,rtp://239.253.112.83:9000
CETV-4高清,rtp://239.253.112.95:9000
山东教育高清,rtp://239.253.112.94:9000
卡酷少儿,rtp://239.253.112.85:9000
嘉佳卡通,rtp://239.253.112.67:9000
精彩影视,rtp://239.253.112.86:9000
求索纪录,rtp://239.253.112.87:9000
高尔夫网球HD,rtp://239.253.112.88:9000
